Price,Location,Size,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
55 000 000 Rwf,www.gobelandhouse.com isselling a house at kinyinya@55millions,25/35m,4.0,1.0,,,,Yes,Yes
180 000 000 Rwf,Gacuriro,/,4.0,4.0,,,Yes,,
45 000 000 Rwf,45M KABEZA,25mx30m,4.0,3.0,,,,,
8 500 000 Rwf,Kigali ,/,3.0,,,,,,
28 000 000 Rwf,28M KIMIRONKO,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
42 000 000 Rwf,Kigali@festus,20mx30m,,,,,,,
50 000 000 Rwf,Karumuna:kivuproperty.com,35mx30m,4.0,3.0,,,,,
22 000 000 Rwf,Rebero 22m,545 ms,4.0,1.0,,,,,
45 000 000 Rwf,"Kigalidealers,com",600Sqm,4.0,4.0,,,Yes,,Yes
60 000 000 Rwf,60M KIMIRONKO,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
150 000 000 Rwf,Kimironko:kivuproperty.com,25mx30m,4.0,3.0,,,,,
45 000 000 Rwf,www.Gobelandhouse.com is selling a house at Masaka@45millions,25/30m,,1.0,,,,Yes,Yes
75 000 000 Rwf,Kicukiro,/,6.0,3.0,,,,Yes,Yes
38 000 000 Rwf,kigali,25mx20m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
50 000 000 Rwf,Gisozi house for sale@50 millions,20/30m,4.0,3.0,,,,Yes,Yes
150 000 000 Rwf,150M kimironko,25m/30m,5.0,3.0,,,,Yes,Yes
90 000 000 Rwf,"Kicukiro, Kigali",,4.0,3.0,Yes,Yes,Yes,Yes,
10 000 000 Rwf,kigali-GASOGI,/,,,,,,,Yes
60 000 000 Rwf,60M NIBOYI,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
45 000 000 Rwf,kanombe @45.000.000 Rwf,25/30m,4.0,3.0,,,,Yes,Yes
55 000 000 Rwf,Kigali,22/30C,4.0,3.0,,,,Yes,
120 000 000 Rwf,"www.gobeland.com,kibagabaga @120 millions",25/25m,,1.0,,,,Yes,Yes
55 000 000 Rwf,55m kimironko,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
45 000 000 Rwf,KARURUMA 45millions,/,4.0,3.0,,Yes,,,
95 000 000 Rwf,Kigali--rusororo,30mx30m,4.0,4.0,,,,Yes,
50 000 000 Rwf,50m kimironko,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
68 000 000 Rwf,"Kigali, kimironko",/,4.0,3.0,,Yes,,,
75 000 000 Rwf,Kicukiro house for sale@75 millions,25/30m,5.0,3.0,,,,Yes,Yes
45 000 000 Rwf,Kigali -kanombe ,/,4.0,3.0,,,,,Yes
55 000 000 Rwf,55M kanombe,/,4.0,3.0,,Yes,,,
60 000 000 Rwf,kanombe;60.000.000rwf,30/25m,4.0,3.0,,,,Yes,Yes
130 000 000 Rwf,www.kigalidealer.com,/,4.0,3.0,,Yes,,Yes,
70 000 000 Rwf,KIGALI CITY,,4.0,4.0,Yes,Yes,Yes,Yes,
40 000 000 Rwf,Kigali gacuriro,25/30 ,,,,,,,
47 000 000 Rwf,"www.gobeland.com,kanombe @47 millions",/,4.0,3.0,,,,Yes,Yes
350 000 000 Rwf,Nyarutarama big house for sale @350.000.000 Rwf,30/25P,7.0,6.0,Yes,,,Yes,Yes
$ 2 500,kibagabaga house for rent@ 2500 $ / month,30/40m,5.0,5.0,,,,Yes,Yes
60 000 000 Rwf,kigali,25mx30m,4.0,3.0,Yes,Yes,Yes,Yes,Yes
160 000 000 Rwf,www.gobelandhouse.com is selling a house at kicukiro@160.000.000RWF,35/30m,5.0,4.0,,,,Yes,Yes
26 000 000 Rwf,kigali,25/,4.0,3.0,,,,Yes,Yes
65 000 000 Rwf,Kanombe house for sale@65 millions,25/30m,,1.0,,,,Yes,Yes
12 000 000 Rwf,kigali gisozi,15/20m,,1.0,,,,,
110 000 000 Rwf,Remera,/,4.0,3.0,,,Yes,Yes,
10 000 000 Rwf,10M KANOMBE,20m/30m,4.0,0.0,,,,Yes,Yes
35 000 000 Rwf,kabeza 35m,/,4.0,3.0,,Yes,,,
Negotiable,"Kicukiro, Masaka sector",20/30,,,,,,,
120 000 000 Rwf,Kigali,30/20p,4.0,3.0,,Yes,,Yes,Yes
15 000 000 Rwf,15M KABUGA,/,4.0,3.0,,Yes,,,
100 000 000 Rwf,kanombe,/,4.0,3.0,,,,Yes,Yes
55 000 000 Rwf,Kicukiro:kivuproperty.com,20mx30m,4.0,4.0,,,,,
52 000 000 Rwf,GIKONDO,/,,,,,,,
100 000 000 Rwf,kigali kicukiro,25/25m,5.0,3.0,,,,Yes,Yes
350 000 000 Rwf,Kiyovu,3338sqm,5.0,2.0,,Yes,,Yes,
55 000 000 Rwf,Kimironko:kivuproperty.com,25mx30m,4.0,3.0,,,,,
75 000 000 Rwf,"kicukiro, Niboye @75.000.000 Rwf",25/30m,4.0,3.0,,,,Yes,Yes
70 000 000 Rwf,kigali 70m negotible,30/20,4.0,3.0,,,,,
150 000 000 Rwf,"kibagabaga, @150.000.000 Rwf",30/30m,5.0,4.0,,,,Yes,Yes
90 000 000 Rwf,90M KARURUMA,,4.0,3.0,Yes,Yes,Yes,Yes,Yes
25 000 000 Rwf,kigali ,/,4.0,2.0,,,,Yes,
